candidateid,raceid,precinctsreporting,national,officeid,ballotorder,id,votepct,fipscode,reportingunitname,seatnum,winner,lastupdated,polid,initialization_data,racetype,incumbent,test,party,officename,electiondate,racetypeid,uncontested,description,precinctsreportingpct,polnum,key,reportingunitid,is_ballot_measure,precinctstotal,last,statepostal,level,statename,votecount,seatname,runoff,unique_id,first
22326,16957,0,True,P,5,16957-polid-60339-16072,0.0,19143,Osceola,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Osceola1607222326,16072,,8,Fiorina,IA,county,,0,,False,polid-60339,Carly
22321,16957,0,True,P,1,16957-polid-1239-16072,0.0,19143,Osceola,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Osceola1607222321,16072,,8,Bush,IA,county,,0,,False,polid-1239,Jeb
22329,16957,0,True,P,7,16957-polid-1187-16026,0.0,19051,Davis,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Davis1602622329,16026,,8,Huckabee,IA,county,,0,,False,polid-1187,Mike
22322,16957,0,True,P,2,16957-polid-64509-16072,0.0,19143,Osceola,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Osceola1607222322,16072,,8,Carson,IA,county,,0,,False,polid-64509,Ben
22312,16672,0,True,P,2,16672-polid-22603-16032,0.0,19063,Emmet,0,False,,22603,False,,False,True,Dem,President,20160201,E,False,,0.0,18857,16672Emmet1603222312,16032,,11,O'Malley,IA,county,,0,,False,polid-22603,Martin
22326,16957,0,True,P,5,16957-polid-60339-16026,0.0,19051,Davis,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Davis1602622326,16026,,8,Fiorina,IA,county,,0,,False,polid-60339,Carly
22335,16957,0,True,P,10,16957-polid-53044-16028,0.0,19055,Delaware,0,False,,53044,False,,False,True,GOP,President,20160201,S,False,,0.0,18872,16957Delaware1602822335,16028,,12,Rubio,IA,county,,0,,False,polid-53044,Marco
22311,16672,0,True,P,3,16672-polid-1445-16032,0.0,19063,Emmet,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Emmet1603222311,16032,,11,Sanders,IA,county,,0,,False,polid-1445,Bernie
22323,16957,0,True,P,3,16957-polid-60051-16026,0.0,19051,Davis,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Davis1602622323,16026,,8,Christie,IA,county,,0,,False,polid-60051,Chris
22322,16957,0,True,P,2,16957-polid-64509-16026,0.0,19051,Davis,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Davis1602622322,16026,,8,Carson,IA,county,,0,,False,polid-64509,Ben
22321,16957,0,True,P,1,16957-polid-1239-16026,0.0,19051,Davis,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Davis1602622321,16026,,8,Bush,IA,county,,0,,False,polid-1239,Jeb
22342,16957,0,True,P,13,16957-polid-100007-16086,0.0,19171,Tama,0,False,,100007,False,,False,True,GOP,President,20160201,S,False,,0.0,17474,16957Tama1608622342,16086,,16,Other,IA,county,,0,,False,polid-100007,
22345,16957,0,True,P,6,16957-polid-45650-16086,0.0,19171,Tama,0,False,,45650,False,,False,True,GOP,President,20160201,S,False,,0.0,18865,16957Tama1608622345,16086,,16,Gilmore,IA,county,,0,,False,polid-45650,Jim
22322,16957,0,True,P,2,16957-polid-64509-16097,0.0,19193,Woodbury,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Woodbury1609722322,16097,,44,Carson,IA,county,,0,,False,polid-64509,Ben
22323,16957,0,True,P,3,16957-polid-60051-16097,0.0,19193,Woodbury,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Woodbury1609722323,16097,,44,Christie,IA,county,,0,,False,polid-60051,Chris
22321,16957,0,True,P,1,16957-polid-1239-16097,0.0,19193,Woodbury,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Woodbury1609722321,16097,,44,Bush,IA,county,,0,,False,polid-1239,Jeb
22340,16672,0,True,P,4,16672-polid-100004-16084,0.0,19167,Sioux,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Sioux1608422340,16084,,16,Uncommitted,IA,county,,0,,False,polid-100004,
22324,16957,0,True,P,4,16957-polid-61815-16097,0.0,19193,Woodbury,0,False,,61815,False,,False,True,GOP,President,20160201,S,False,,0.0,18862,16957Woodbury1609722324,16097,,44,Cruz,IA,county,,0,,False,polid-61815,Ted
22343,16672,0,True,P,5,16672-polid-100007-16084,0.0,19167,Sioux,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Sioux1608422343,16084,,16,Other,IA,county,,0,,False,polid-100007,
22329,16957,0,True,P,7,16957-polid-1187-16097,0.0,19193,Woodbury,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Woodbury1609722329,16097,,44,Huckabee,IA,county,,0,,False,polid-1187,Mike
22324,16957,0,True,P,4,16957-polid-61815-16049,0.0,19097,Jackson,0,False,,61815,False,,False,True,GOP,President,20160201,S,False,,0.0,18862,16957Jackson1604922324,16049,,16,Cruz,IA,county,,0,,False,polid-61815,Ted
22326,16957,0,True,P,5,16957-polid-60339-16049,0.0,19097,Jackson,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Jackson1604922326,16049,,16,Fiorina,IA,county,,0,,False,polid-60339,Carly
22321,16957,0,True,P,1,16957-polid-1239-16049,0.0,19097,Jackson,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Jackson1604922321,16049,,16,Bush,IA,county,,0,,False,polid-1239,Jeb
22322,16957,0,True,P,2,16957-polid-64509-16049,0.0,19097,Jackson,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Jackson1604922322,16049,,16,Carson,IA,county,,0,,False,polid-64509,Ben
22323,16957,0,True,P,3,16957-polid-60051-16049,0.0,19097,Jackson,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Jackson1604922323,16049,,16,Christie,IA,county,,0,,False,polid-60051,Chris
22333,16957,0,True,P,9,16957-polid-60208-16061,0.0,19121,Madison,0,False,,60208,False,,False,True,GOP,President,20160201,S,False,,0.0,18871,16957Madison1606122333,16061,,9,Paul,IA,county,,0,,False,polid-60208,Rand
22331,16957,0,True,P,8,16957-polid-36679-16061,0.0,19121,Madison,0,False,,36679,False,,False,True,GOP,President,20160201,S,False,,0.0,18869,16957Madison1606122331,16061,,9,Kasich,IA,county,,0,,False,polid-36679,John
22337,16957,0,True,P,12,16957-polid-8639-16061,0.0,19121,Madison,0,False,,8639,False,,False,True,GOP,President,20160201,S,False,,0.0,18873,16957Madison1606122337,16061,,9,Trump,IA,county,,0,,False,polid-8639,Donald
22336,16957,0,True,P,11,16957-polid-1752-16061,0.0,19121,Madison,0,False,,1752,False,,False,True,GOP,President,20160201,S,False,,0.0,18541,16957Madison1606122336,16061,,9,Santorum,IA,county,,0,,False,polid-1752,Rick
22335,16957,0,True,P,10,16957-polid-53044-16061,0.0,19121,Madison,0,False,,53044,False,,False,True,GOP,President,20160201,S,False,,0.0,18872,16957Madison1606122335,16061,,9,Rubio,IA,county,,0,,False,polid-53044,Marco
22340,16672,0,True,P,4,16672-polid-100004-16062,0.0,19123,Mahaska,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Mahaska1606222340,16062,,11,Uncommitted,IA,county,,0,,False,polid-100004,
22311,16672,0,True,P,3,16672-polid-1445-16065,0.0,19129,Mills,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Mills1606522311,16065,,11,Sanders,IA,county,,0,,False,polid-1445,Bernie
22343,16672,0,True,P,5,16672-polid-100007-16062,0.0,19123,Mahaska,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Mahaska1606222343,16062,,11,Other,IA,county,,0,,False,polid-100007,
22340,16672,0,True,P,4,16672-polid-100004-16042,0.0,19083,Hardin,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Hardin1604222340,16042,,8,Uncommitted,IA,county,,0,,False,polid-100004,
22343,16672,0,True,P,5,16672-polid-100007-16042,0.0,19083,Hardin,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Hardin1604222343,16042,,8,Other,IA,county,,0,,False,polid-100007,
22311,16672,0,True,P,3,16672-polid-1445-16033,0.0,19065,Fayette,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Fayette1603322311,16033,,25,Sanders,IA,county,,0,,False,polid-1445,Bernie
22310,16672,0,True,P,1,16672-polid-1746-16033,0.0,19065,Fayette,0,False,,1746,False,,False,True,Dem,President,20160201,E,False,,0.0,18855,16672Fayette1603322310,16033,,25,Clinton,IA,county,,0,,False,polid-1746,Hillary
22312,16672,0,True,P,2,16672-polid-22603-16033,0.0,19065,Fayette,0,False,,22603,False,,False,True,Dem,President,20160201,E,False,,0.0,18857,16672Fayette1603322312,16033,,25,O'Malley,IA,county,,0,,False,polid-22603,Martin
22340,16672,0,True,P,4,16672-polid-100004-16046,0.0,19091,Humboldt,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Humboldt1604622340,16046,,9,Uncommitted,IA,county,,0,,False,polid-100004,
22343,16672,0,True,P,5,16672-polid-100007-16046,0.0,19091,Humboldt,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Humboldt1604622343,16046,,9,Other,IA,county,,0,,False,polid-100007,
22312,16672,0,True,P,2,16672-polid-22603-16041,0.0,19081,Hancock,0,False,,22603,False,,False,True,Dem,President,20160201,E,False,,0.0,18857,16672Hancock1604122312,16041,,10,O'Malley,IA,county,,0,,False,polid-22603,Martin
22311,16672,0,True,P,3,16672-polid-1445-16041,0.0,19081,Hancock,0,False,,1445,False,,False,True,Dem,President,20160201,E,False,,0.0,18856,16672Hancock1604122311,16041,,10,Sanders,IA,county,,0,,False,polid-1445,Bernie
22310,16672,0,True,P,1,16672-polid-1746-16041,0.0,19081,Hancock,0,False,,1746,False,,False,True,Dem,President,20160201,E,False,,0.0,18855,16672Hancock1604122310,16041,,10,Clinton,IA,county,,0,,False,polid-1746,Hillary
22342,16957,0,True,P,13,16957-polid-100007-16037,0.0,19073,Greene,0,False,,100007,False,,False,True,GOP,President,20160201,S,False,,0.0,17474,16957Greene1603722342,16037,,7,Other,IA,county,,0,,False,polid-100007,
22345,16957,0,True,P,6,16957-polid-45650-16037,0.0,19073,Greene,0,False,,45650,False,,False,True,GOP,President,20160201,S,False,,0.0,18865,16957Greene1603722345,16037,,7,Gilmore,IA,county,,0,,False,polid-45650,Jim
22333,16957,0,True,P,9,16957-polid-60208-16023,0.0,19045,Clinton,0,False,,60208,False,,False,True,GOP,President,20160201,S,False,,0.0,18871,16957Clinton1602322333,16023,,26,Paul,IA,county,,0,,False,polid-60208,Rand
22331,16957,0,True,P,8,16957-polid-36679-16023,0.0,19045,Clinton,0,False,,36679,False,,False,True,GOP,President,20160201,S,False,,0.0,18869,16957Clinton1602322331,16023,,26,Kasich,IA,county,,0,,False,polid-36679,John
22337,16957,0,True,P,12,16957-polid-8639-16023,0.0,19045,Clinton,0,False,,8639,False,,False,True,GOP,President,20160201,S,False,,0.0,18873,16957Clinton1602322337,16023,,26,Trump,IA,county,,0,,False,polid-8639,Donald
22336,16957,0,True,P,11,16957-polid-1752-16023,0.0,19045,Clinton,0,False,,1752,False,,False,True,GOP,President,20160201,S,False,,0.0,18541,16957Clinton1602322336,16023,,26,Santorum,IA,county,,0,,False,polid-1752,Rick
22335,16957,0,True,P,10,16957-polid-53044-16023,0.0,19045,Clinton,0,False,,53044,False,,False,True,GOP,President,20160201,S,False,,0.0,18872,16957Clinton1602322335,16023,,26,Rubio,IA,county,,0,,False,polid-53044,Marco
22340,16672,0,True,P,4,16672-polid-100004-16088,0.0,19175,Union,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Union1608822340,16088,,8,Uncommitted,IA,county,,0,,False,polid-100004,
22343,16672,0,True,P,5,16672-polid-100007-16088,0.0,19175,Union,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Union1608822343,16088,,8,Other,IA,county,,0,,False,polid-100007,
22345,16957,0,True,P,6,16957-polid-45650-16029,0.0,19057,Des Moines,0,False,,45650,False,,False,True,GOP,President,20160201,S,False,,0.0,18865,16957Des Moines1602922345,16029,,16,Gilmore,IA,county,,0,,False,polid-45650,Jim
22342,16957,0,True,P,13,16957-polid-100007-16029,0.0,19057,Des Moines,0,False,,100007,False,,False,True,GOP,President,20160201,S,False,,0.0,17474,16957Des Moines1602922342,16029,,16,Other,IA,county,,0,,False,polid-100007,
22326,16957,0,True,P,5,16957-polid-60339-16053,0.0,19105,Jones,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Jones1605322326,16053,,14,Fiorina,IA,county,,0,,False,polid-60339,Carly
22324,16957,0,True,P,4,16957-polid-61815-16053,0.0,19105,Jones,0,False,,61815,False,,False,True,GOP,President,20160201,S,False,,0.0,18862,16957Jones1605322324,16053,,14,Cruz,IA,county,,0,,False,polid-61815,Ted
22323,16957,0,True,P,3,16957-polid-60051-16053,0.0,19105,Jones,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Jones1605322323,16053,,14,Christie,IA,county,,0,,False,polid-60051,Chris
22322,16957,0,True,P,2,16957-polid-64509-16053,0.0,19105,Jones,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Jones1605322322,16053,,14,Carson,IA,county,,0,,False,polid-64509,Ben
22321,16957,0,True,P,1,16957-polid-1239-16053,0.0,19105,Jones,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Jones1605322321,16053,,14,Bush,IA,county,,0,,False,polid-1239,Jeb
22343,16672,0,True,P,5,16672-polid-100007-16064,0.0,19127,Marshall,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Marshall1606422343,16064,,19,Other,IA,county,,0,,False,polid-100007,
22329,16957,0,True,P,7,16957-polid-1187-16053,0.0,19105,Jones,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Jones1605322329,16053,,14,Huckabee,IA,county,,0,,False,polid-1187,Mike
22340,16672,0,True,P,4,16672-polid-100004-16064,0.0,19127,Marshall,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Marshall1606422340,16064,,19,Uncommitted,IA,county,,0,,False,polid-100004,
22342,16957,0,True,P,13,16957-polid-100007-16071,0.0,19141,O'Brien,0,False,,100007,False,,False,True,GOP,President,20160201,S,False,,0.0,17474,16957O'Brien1607122342,16071,,9,Other,IA,county,,0,,False,polid-100007,
